날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2025-12-03,09:09,지출,카페/간식,커피/음료,더리터 직영종로점,-3750,KRW,네이버페이 간편결제(머니),
2025-12-03,09:09,지출,카페/간식,커피/음료,더리터 직영종로점,-50,KRW,네이버페이 간편결제(포인트),
2025-12-02,21:03,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-12-02,20:19,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-12-02,19:42,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-12-02,14:00,지출,카페/간식,커피/음료,메가엠지씨커피 서울탑골공원점,-5700,KRW,네이버페이 간편결제(머니),
2025-12-02,07:33,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-12-01,19:32,지출,생활,생필품,주식회사 아성다이소,-835,KRW,네이버페이 간편결제(머니),
2025-12-01,19:32,지출,생활,생필품,주식회사 아성다이소,-165,KRW,네이버페이 간편결제(포인트),
2025-12-01,17:01,지출,온라인쇼핑,인터넷쇼핑,Aliexpress.com,7902,KRW,국민행복,
2025-12-01,16:31,지출,온라인쇼핑,인터넷쇼핑,Aliexpress.com,-7902,KRW,국민행복,
2025-12-01,13:56,지출,식비,한식,순천식당,-10000,KRW,네이버페이 머니 하나 체크카드,
2025-11-30,16:29,지출,온라인쇼핑,결제/충전,Alipay Plus,8619,KRW,네이버페이 간편결제(머니),
2025-11-30,15:48,지출,온라인쇼핑,결제/충전,Alipay Plus,-17724,KRW,네이버페이 간편결제(머니),
2025-11-30,14:32,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-1000,KRW,네이버페이 간편결제(머니),
2025-11-30,13:45,지출,금융,카드,엔에이치엔페이코 주,-4000,KRW,네이버페이 간편결제(머니),
2025-11-30,13:45,지출,금융,카드,엔에이치엔페이코 주,-4000,KRW,네이버페이 머니,
2025-11-30,13:42,지출,생활,생필품,토이하우스,-1000,KRW,네이버페이 간편결제(머니),
2025-11-29,20:21,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-29,19:41,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-29,13:54,지출,카페/간식,커피/음료,더벤티 이천신하점,-3900,KRW,Deep On (체크),
2025-11-29,13:41,지출,카페/간식,아이스크림/빙수,하드나라 신하점,-600,KRW,Deep On (체크),
2025-11-29,08:27,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-29,08:27,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-29,07:33,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-28,20:18,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-28,19:44,지출,교통,대중교통,티머니 버스,-3000,KRW,K-패스 하나 체크카드,
2025-11-28,13:57,지출,카페/간식,커피/음료,메가엠지씨커피 보신각점,-2900,KRW,네이버페이 간편결제(머니),
2025-11-28,13:34,지출,식비,패스트푸드,KFC청계천점,-1300,KRW,네이버페이 간편결제(머니),
2025-11-28,13:34,지출,식비,패스트푸드,KFC청계천점,-5400,KRW,네이버페이 간편결제(머니),
2025-11-28,11:06,지출,온라인쇼핑,서비스구독,알리페이_정기2_원화정산_카드x,-8322,KRW,네이버페이 간편결제(머니),
2025-11-28,09:01,지출,카페/간식,커피/음료,더리터커피(1)_나이스,-3700,KRW,네이버페이 머니 하나 체크카드,
2025-11-28,07:33,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-27,20:20,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
